546453|3.5|4
546703||0
546704||0
546706||0
547463|3.8|58
547532|2|1
547533||0
547534||0
547535|2.67|3
547536|2|3
547537|3.17|3
547613|4.02|158
547639|3.92|113
547867|3.48|128
548279||0
548280|4|3
548464|3.62|34
549613||0
549614||0
550640||0
550922|3.7|43
551416||0
551417||0
551418||0
552142|3.84|184
552297||0
553551||0
554380|3|1
555073||0
556516||0
557549||0
557553||0
557554|3.64|11
559382||0
559688|3.83|6
560396||0
561298|5|1
561563|3.5|2
561982|3.88|45
561989|3.83|6
562042|3.8|45
562656|3.29|7
562657||0
562658|4.39|9
562659|3.75|4
562660|3.56|9
564497||0
564791||0
565289|3.5|7
565378|3.38|26
565428|3.68|73
565645||0
565648||0
565649||0
565701|3.5|18
566994||0
567640|3.82|11
567641||0
567647||0
567648||0
567649||0
567650||0
567651|4|2
567652||0
568131|3.24|27
568886||0
568887||0
568888||0
568889||0
569964|3|1
569965|3|5
569966||0
569967||0
569968|3.4|5
570046|3.67|3
570049||0
570065|3.83|9
571948|3|2
571949|2|1
571950||0
572452|3.72|229
573530|2|2
573986||0
573987||0
573989|3|3
574083||0
575355|3.58|78
575939||0
575940|4.5|2
575941||0
576446||0
576448|4|1
577716||0
577717||0
578990||0
580073|4|14
582268||0
582269||0
582271||0
582272||0
582511|3.75|12
583060||0
584421||0
584422|4|1
584423|3|1
585543|5|2
588143|3.57|14
589699||0
589878|3.85|30
590048|3|7
590767|3.84|57
591921|3.81|8
592053|3.83|90
595195|3.73|11
599934|4.13|8
600013|4.2|5
606295|3.88|70
608503||0
608906|3.75|28
608908|4|11
611689|3.69|35
612060|3|7
615363|3.25|4
619199||0
620524|3.1|5
621935|3.75|10
622602||0
622762|3.55|57
626797|3.56|9
628705||0
628706||0
629073||0
633294|4|11
634700|4.25|4
636717|3.47|67
641244|3.79|65
641245|3.28|41
645219||0
652098|3.61|19
652139|3.17|6
652837|4.17|6
655979|3.4|15
656725|3.56|9
673897|3.92|13
673926|3.56|8
677574|2.63|12
680100|2.92|13
680154|4.56|17
689228|3.59|73
689229|3.7|15
689266|2.79|19
689351|3.52|32
689362|3.75|8
689628|3.13|26
697874|3.15|40
697997|3.88|8
698692|3.46|12
698942|4.2|5
699113|4|2
699329||0
699773|3.46|34
708646|2.5|4
735346|3.8|74
750351|3.55|11
766734|3.54|67
776952|3.9|1533
804013|3.91|11
804233|3.35|20
804529|3.68|17
805147|4|4
834162||0
835445||0
883292|2.75|10
884189|3.96|13
888373|3.33|3
893635|4.5|2
936071|3.28|23
1058243|3.5|2
1084764|3.33|3
1101452|4.04|225
1124835|5|1
1176428|3.88|108
1202662|4.01|36
1236408||0
1236740||0
1238009|3.5|4
1244658|4.07|777
1257216|3.72|16
1280634|4.25|2
1421303|4.13|530
1421897|3.92|293
1522336|3.67|3
1561653|4.27|482
1564129|3.95|33
1592782||0
1614890|3.95|381
1615443|4|1
1708426|3.92|1090
1760846|3.59|11
1785259|3.92|241
1953223|3.8|5
2083320|3.65|34
2118531|3.17|6
2177307|5|2
2230918||0
2243147||0
2250612|4.25|6
2338648||0
2716683||0
2744803||0
2744806||0
2744888||0
2744921||0
2745008||0
2745084||0
2745176||0
